video_name,action_idx,category,frames,resize,source_video,split,action
-mmq0PT-u8k_00155.mp4,0,diving,49,True,-mmq0PT-u8k_00155.mp4,train,Back 15som 05Twis FREE
-mmq0PT-u8k_00156.mp4,0,diving,71,True,-mmq0PT-u8k_00156.mp4,train,Back 15som 05Twis FREE
-mmq0PT-u8k_00157.mp4,0,diving,91,True,-mmq0PT-u8k_00157.mp4,train,Back 15som 05Twis FREE
3qq031609lA_00002.mp4,0,diving,124,True,3qq031609lA_00002.mp4,train,Back 15som 05Twis FREE
3qq031609lA_00004.mp4,0,diving,103,True,3qq031609lA_00004.mp4,train,Back 15som 05Twis FREE
5V-dKBtmKLI_00018.mp4,0,diving,56,True,5V-dKBtmKLI_00018.mp4,train,Back 15som 05Twis FREE
5V-dKBtmKLI_00019.mp4,0,diving,76,True,5V-dKBtmKLI_00019.mp4,train,Back 15som 05Twis FREE
5V-dKBtmKLI_00085.mp4,0,diving,81,True,5V-dKBtmKLI_00085.mp4,train,Back 15som 05Twis FREE
5V-dKBtmKLI_00086.mp4,0,diving,90,True,5V-dKBtmKLI_00086.mp4,train,Back 15som 05Twis FREE
9BC6ssCjyfg_00176.mp4,0,diving,129,True,9BC6ssCjyfg_00176.mp4,train,Back 15som 05Twis FREE
9BC6ssCjyfg_00177.mp4,0,diving,159,True,9BC6ssCjyfg_00177.mp4,train,Back 15som 05Twis FREE
9BC6ssCjyfg_00178.mp4,0,diving,154,True,9BC6ssCjyfg_00178.mp4,train,Back 15som 05Twis FREE
9jZYYtzYqwE_00037.mp4,0,diving,93,True,9jZYYtzYqwE_00037.mp4,train,Back 15som 05Twis FREE
9jZYYtzYqwE_00038.mp4,0,diving,123,True,9jZYYtzYqwE_00038.mp4,train,Back 15som 05Twis FREE
9jZYYtzYqwE_00049.mp4,0,diving,99,True,9jZYYtzYqwE_00049.mp4,train,Back 15som 05Twis FREE
9jZYYtzYqwE_00050.mp4,0,diving,238,True,9jZYYtzYqwE_00050.mp4,train,Back 15som 05Twis FREE
9jZYYtzYqwE_00097.mp4,0,diving,65,True,9jZYYtzYqwE_00097.mp4,train,Back 15som 05Twis FREE
9jZYYtzYqwE_00098.mp4,0,diving,122,True,9jZYYtzYqwE_00098.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00095.mp4,0,diving,251,True,D8YKHC5hmUs_00095.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00096.mp4,0,diving,153,True,D8YKHC5hmUs_00096.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00106.mp4,0,diving,125,True,D8YKHC5hmUs_00106.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00107.mp4,0,diving,134,True,D8YKHC5hmUs_00107.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00128.mp4,0,diving,74,True,D8YKHC5hmUs_00128.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00129.mp4,0,diving,154,True,D8YKHC5hmUs_00129.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00134.mp4,0,diving,90,True,D8YKHC5hmUs_00134.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00135.mp4,0,diving,132,True,D8YKHC5hmUs_00135.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00152.mp4,0,diving,139,True,D8YKHC5hmUs_00152.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00153.mp4,0,diving,108,True,D8YKHC5hmUs_00153.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00162.mp4,0,diving,73,True,D8YKHC5hmUs_00162.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00163.mp4,0,diving,109,True,D8YKHC5hmUs_00163.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00174.mp4,0,diving,57,True,D8YKHC5hmUs_00174.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00175.mp4,0,diving,149,True,D8YKHC5hmUs_00175.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00176.mp4,0,diving,208,True,D8YKHC5hmUs_00176.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00177.mp4,0,diving,124,True,D8YKHC5hmUs_00177.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00215.mp4,0,diving,52,True,D8YKHC5hmUs_00215.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00216.mp4,0,diving,115,True,D8YKHC5hmUs_00216.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00265.mp4,0,diving,214,True,D8YKHC5hmUs_00265.mp4,train,Back 15som 05Twis FREE
D8YKHC5hmUs_00266.mp4,0,diving,144,True,D8YKHC5hmUs_00266.mp4,train,Back 15som 05Twis FREE
DB4lpBDPnTY_00039.mp4,0,diving,110,True,DB4lpBDPnTY_00039.mp4,train,Back 15som 05Twis FREE
DB4lpBDPnTY_00040.mp4,0,diving,130,True,DB4lpBDPnTY_00040.mp4,train,Back 15som 05Twis FREE
JzOshOJgofw_00081.mp4,0,diving,120,True,JzOshOJgofw_00081.mp4,train,Back 15som 05Twis FREE
JzOshOJgofw_00082.mp4,0,diving,88,True,JzOshOJgofw_00082.mp4,train,Back 15som 05Twis FREE
JzOshOJgofw_00105.mp4,0,diving,132,True,JzOshOJgofw_00105.mp4,train,Back 15som 05Twis FREE
JzOshOJgofw_00106.mp4,0,diving,113,True,JzOshOJgofw_00106.mp4,train,Back 15som 05Twis FREE
LkluZoNfKu8_00104.mp4,0,diving,85,True,LkluZoNfKu8_00104.mp4,train,Back 15som 05Twis FREE
LkluZoNfKu8_00105.mp4,0,diving,189,True,LkluZoNfKu8_00105.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00256.mp4,0,diving,223,True,VNvb5oLOpLg_00256.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00257.mp4,0,diving,267,True,VNvb5oLOpLg_00257.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00294.mp4,0,diving,182,True,VNvb5oLOpLg_00294.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00295.mp4,0,diving,217,True,VNvb5oLOpLg_00295.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00310.mp4,0,diving,114,True,VNvb5oLOpLg_00310.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00311.mp4,0,diving,207,True,VNvb5oLOpLg_00311.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00703.mp4,0,diving,204,True,VNvb5oLOpLg_00703.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00704.mp4,0,diving,234,True,VNvb5oLOpLg_00704.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00705.mp4,0,diving,243,True,VNvb5oLOpLg_00705.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00773.mp4,0,diving,119,True,VNvb5oLOpLg_00773.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00774.mp4,0,diving,218,True,VNvb5oLOpLg_00774.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00775.mp4,0,diving,226,True,VNvb5oLOpLg_00775.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00794.mp4,0,diving,119,True,VNvb5oLOpLg_00794.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00809.mp4,0,diving,137,True,VNvb5oLOpLg_00809.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00810.mp4,0,diving,258,True,VNvb5oLOpLg_00810.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00811.mp4,0,diving,246,True,VNvb5oLOpLg_00811.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00812.mp4,0,diving,212,True,VNvb5oLOpLg_00812.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00813.mp4,0,diving,227,True,VNvb5oLOpLg_00813.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00814.mp4,0,diving,240,True,VNvb5oLOpLg_00814.mp4,train,Back 15som 05Twis FREE
VNvb5oLOpLg_00824.mp4,0,diving,201,True,VNvb5oLOpLg_00824.mp4,train,Back 15som 05Twis FREE
