video_name,action_idx,category,frames,resize,source_video,split,action,new_split
01_0001_v_-hyYa8ijq-8_c001.mp4,1,aerobic_gymnastics,31,False,v_-hyYa8ijq-8_c001.mp4,train,explosive push up,train
01_0002_v_-hyYa8ijq-8_c001.mp4,1,aerobic_gymnastics,31,True,v_-hyYa8ijq-8_c001.mp4,train,explosive push up,train
01_0003_v_-hyYa8ijq-8_c001.mp4,1,aerobic_gymnastics,32,False,v_-hyYa8ijq-8_c001.mp4,train,explosive push up,train
05_0001_v_-hyYa8ijq-8_c001.mp4,5,aerobic_gymnastics,89,False,v_-hyYa8ijq-8_c001.mp4,train,support,train
05_0002_v_-hyYa8ijq-8_c001.mp4,5,aerobic_gymnastics,87,False,v_-hyYa8ijq-8_c001.mp4,train,support,train
05_0003_v_-hyYa8ijq-8_c001.mp4,5,aerobic_gymnastics,88,False,v_-hyYa8ijq-8_c001.mp4,train,support,train
12_0001_v_-hyYa8ijq-8_c001.mp4,12,aerobic_gymnastics,28,True,v_-hyYa8ijq-8_c001.mp4,train,straddle jump,train
12_0002_v_-hyYa8ijq-8_c001.mp4,12,aerobic_gymnastics,28,True,v_-hyYa8ijq-8_c001.mp4,train,straddle jump,train
12_0003_v_-hyYa8ijq-8_c001.mp4,12,aerobic_gymnastics,30,True,v_-hyYa8ijq-8_c001.mp4,train,straddle jump,train
10_0001_v_-hyYa8ijq-8_c002.mp4,10,aerobic_gymnastics,24,True,v_-hyYa8ijq-8_c002.mp4,train,bent leg(s) jump,train
10_0002_v_-hyYa8ijq-8_c002.mp4,10,aerobic_gymnastics,24,True,v_-hyYa8ijq-8_c002.mp4,train,bent leg(s) jump,train
10_0003_v_-hyYa8ijq-8_c002.mp4,10,aerobic_gymnastics,24,True,v_-hyYa8ijq-8_c002.mp4,train,bent leg(s) jump,train
13_0001_v_-hyYa8ijq-8_c002.mp4,13,aerobic_gymnastics,23,True,v_-hyYa8ijq-8_c002.mp4,train,split jump,train
13_0002_v_-hyYa8ijq-8_c002.mp4,13,aerobic_gymnastics,23,True,v_-hyYa8ijq-8_c002.mp4,train,split jump,train
13_0003_v_-hyYa8ijq-8_c002.mp4,13,aerobic_gymnastics,23,True,v_-hyYa8ijq-8_c002.mp4,train,split jump,train
14_0001_v_-hyYa8ijq-8_c002.mp4,14,aerobic_gymnastics,22,True,v_-hyYa8ijq-8_c002.mp4,train,scissors leap,train
14_0002_v_-hyYa8ijq-8_c002.mp4,14,aerobic_gymnastics,26,True,v_-hyYa8ijq-8_c002.mp4,train,scissors leap,train
14_0003_v_-hyYa8ijq-8_c002.mp4,14,aerobic_gymnastics,28,True,v_-hyYa8ijq-8_c002.mp4,train,scissors leap,train
11_0001_v_-hyYa8ijq-8_c003.mp4,11,aerobic_gymnastics,29,True,v_-hyYa8ijq-8_c003.mp4,train,pike jump,train
11_0002_v_-hyYa8ijq-8_c003.mp4,11,aerobic_gymnastics,29,True,v_-hyYa8ijq-8_c003.mp4,train,pike jump,train
11_0003_v_-hyYa8ijq-8_c003.mp4,11,aerobic_gymnastics,29,True,v_-hyYa8ijq-8_c003.mp4,train,pike jump,train
19_0001_v_-hyYa8ijq-8_c003.mp4,19,aerobic_gymnastics,40,True,v_-hyYa8ijq-8_c003.mp4,train,turn,train
19_0002_v_-hyYa8ijq-8_c003.mp4,19,aerobic_gymnastics,39,True,v_-hyYa8ijq-8_c003.mp4,train,turn,train
19_0003_v_-hyYa8ijq-8_c003.mp4,19,aerobic_gymnastics,44,True,v_-hyYa8ijq-8_c003.mp4,train,turn,train
09_0001_v_-hyYa8ijq-8_c003.mp4,9,aerobic_gymnastics,50,True,v_-hyYa8ijq-8_c003.mp4,train,illusion,train
09_0002_v_-hyYa8ijq-8_c003.mp4,9,aerobic_gymnastics,52,True,v_-hyYa8ijq-8_c003.mp4,train,illusion,train
